id,year,number,boolean,company,city
1,2010,1,false,Feedbug,Goroka
2,1988,1,false,Riffwire,Haugesund
3,2002,0,false,Linklinks,Gechuan
4,2010,1,false,Vitz,Milotice
5,2011,1,true,Vinte,Levallois-Perret
6,2003,1,false,Quaxo,Vạn Giã
7,2010,0,true,Buzzshare,Tours
8,2002,1,false,Jabberstorm,Hongguang
9,2008,0,true,Skidoo,Zhaiwu
10,2002,1,false,Thoughtbeat,Az Ziyārah
11,2003,1,false,Devify,Căuşeni
12,2008,0,false,Realcube,Dabaozi
13,1990,1,true,Jabbersphere,Jincheng
14,1987,0,true,Devbug,Partizan
15,2008,0,true,Vinte,Changnyeong
16,1997,,false,Trilith,Mādabā
17,2005,0,false,Voonix,Tucuruí
18,1995,0,false,Browsedrive,Longshan
19,2003,1,false,Zoozzy,Ambo Village
20,2001,1,false,Browsezoom,Trakai
21,2005,1,true,Browsetype,Nenagh
22,2012,1,false,Photobug,Edson
23,1972,0,false,Agimba,Almafuerte
24,2005,0,false,Agivu,Saint-Denis
25,2000,1,true,Mymm,Wielka Nieszawka
26,2003,0,true,Dynava,Rungis
27,2001,0,false,Meeveo,Hema
28,2005,1,false,Shufflester,Quinta dos Frades
29,2012,1,false,Einti,Porto Martins
30,2010,0,false,Livepath,Ipueiras
31,2008,0,true,Twimm,Kolochava
32,1995,1,false,Centimia,Koson Shahri
33,2001,1,true,Thoughtbridge,Rivière-du-Loup
34,1995,0,false,Roombo,San Casimiro
35,2003,,true,Zoomcast,Osnabrück
36,1999,0,false,Zoomlounge,Qīr Moāv
37,1987,1,false,Janyx,Turku
38,2008,1,true,Dazzlesphere,Yelan’-Kolenovskiy
39,2008,1,false,Meejo,Ixopo
40,1998,1,false,Tagcat,Postoloprty
41,1998,1,false,Edgeblab,Turnišče
42,2009,,true,Oozz,Yunxi
43,2004,0,false,Viva,Cristóbal
44,1997,1,false,Voonder,Sancha
45,2003,0,false,Zoovu,Beigao
46,1969,1,false,Oyonder,Shazhouba
47,2008,1,true,Quaxo,Izra‘
48,1995,1,false,Photofeed,Vicuña
49,1959,1,false,Ozu,Tinghir
50,1987,,true,Skiba,Plast
51,2011,0,false,Trudeo,Tolstoy-Yurt
52,2006,1,true,Divanoodle,Mishkino
53,1996,1,true,Demimbu,Anyang
54,1997,0,false,Blogtag,Néa Pélla
55,2004,1,true,Brainbox,Takahashi
56,2004,0,true,Twimm,Wakema
57,2003,0,true,Gigazoom,Yangsa
58,1988,0,true,Geba,Frederico Westphalen
59,2012,0,false,Twitternation,Bridgewater
60,1992,1,true,Buzzbean,Kiarajangkung
61,2004,1,true,Feedspan,Qarah Bāgh Bāzār
62,2004,0,false,Digitube,Jieshou
63,1986,1,true,Gabspot,Paris 07
64,1992,1,false,Divavu,Huangling
65,2012,0,true,Vinte,Pandangan Kulon
66,2005,1,true,Aimbu,Şuraabad
67,2000,0,true,Wikivu,Quimperlé
68,1994,1,true,Abatz,Rybarzowice
69,2006,0,false,Gabtune,Ell
70,2011,0,true,Jabbersphere,Ban Phaeo
71,1993,0,true,Voonyx,Wulong
72,1993,0,false,Dynazzy,Nanpiao
73,1960,0,true,Gabcube,Torres
74,2001,0,false,Skilith,Vanadjou
75,1962,1,false,Twitterwire,Vinhas
76,2008,1,false,Tagpad,Boksitogorsk
77,1992,1,false,Babbleopia,Lameira
78,2005,0,true,Jayo,Dālbandīn
79,2009,,true,Meedoo,La Palma
80,1994,1,true,Jabbersphere,Bongsri
81,2005,0,true,Eimbee,Sida
82,2012,0,true,Wordify,La Banda
83,1990,0,false,Jabberstorm,Sampit
84,2012,1,false,Feedbug,Jieznas
85,2010,1,true,Mycat,Ndano
86,1995,0,true,Camimbo,Toufang
87,1995,0,true,Edgepulse,Panique
88,2010,,false,Eare,Sinop
89,1995,,false,Photospace,Mary
90,2010,1,true,Vipe,Tutnae
91,2007,0,true,Photobean,Ul
92,1999,1,true,Meevee,Pamoyanan
93,1993,0,false,Aimbu,Jimo
94,2009,1,false,Wikizz,Xinglong
95,1990,1,false,Npath,Xikou
96,1992,0,false,Topicblab,El Salitre
97,1993,0,true,Babblestorm,Tokonou
98,1995,1,true,Feedmix,Calomboyan
99,2001,1,true,Jabbersphere,Sofo-Birnin-Gwari
100,2007,0,false,Edgeclub,Wakayama-shi
101,2011,1,true,Avamm,Tawaramoto
102,1992,0,false,Blogtag,Mengyin
103,1998,1,true,Tagfeed,Tamorong
104,1991,1,true,Shufflester,Vicente Guerrero
105,1994,0,true,Realbridge,Danirai
106,2001,0,true,Meedoo,Veliki Preslav
107,2000,1,false,Nlounge,Madaoua
108,2011,,true,Skiptube,Wolbrom
109,1995,1,false,Pixope,At-Bashi
110,2007,0,false,Thoughtbeat,Taloy
111,1985,0,true,Thoughtbeat,Huangtang
112,1989,0,true,Youbridge,Oriximiná
113,2008,0,true,Talane,Severodvinsk
114,1992,1,false,Jaxbean,Muzambinho
115,2007,,true,Wikivu,Sudimanik
116,2002,0,false,Bluezoom,Astromil
117,2005,1,true,Snaptags,Danauparis
118,1997,0,false,Katz,Xiangang
119,2010,1,false,Plambee,Santa Ana
120,2009,0,false,Gabtune,Radekhiv
121,1994,0,true,Skalith,Al Fujayrah
122,2011,1,true,Vitz,Kabarnet
123,1982,0,false,Zazio,Zhengdonglu
